iter	Passed	Remaining
0	8	8484
1	14	7264
2	20	6899
3	26	6675
4	32	6468
5	38	6436
6	44	6369
7	50	6315
8	56	6254
9	62	6197
10	68	6146
11	74	6148
12	80	6126
13	87	6138
14	92	6100
15	98	6083
16	105	6073
17	111	6057
18	117	6055
19	123	6057
20	130	6062
21	136	6054
22	142	6044
23	148	6034
24	154	6015
25	160	6012
26	166	6004
27	172	5987
28	178	5976
29	184	5975
30	190	5967
31	196	5954
32	202	5947
33	208	5935
34	215	5937
35	221	5922
36	228	5950
37	237	6020
38	246	6063
39	255	6128
40	262	6141
41	269	6157
42	277	6175
43	285	6210
44	293	6231
45	300	6232
46	308	6259
47	316	6276
48	323	6285
49	331	6293
50	337	6287
51	346	6310
52	353	6314
53	360	6319
54	367	6321
55	375	6329
56	383	6342
57	390	6347
58	398	6356
59	406	6374
60	414	6373
61	421	6378
62	428	6374
63	435	6374
64	444	6396
65	452	6403
66	459	6394
67	465	6386
68	472	6378
69	479	6371
70	486	6367
71	493	6365
72	500	6354
73	506	6342
74	513	6328
75	519	6316
76	525	6301
77	532	6289
78	538	6277
79	544	6260
80	550	6246
81	556	6232
82	562	6215
83	568	6198
84	574	6186
85	580	6166
86	585	6147
87	592	6138
88	597	6120
89	604	6107
90	609	6090
91	616	6079
92	622	6066
93	627	6050
94	634	6040
95	640	6028
96	645	6013
97	651	5999
98	657	5987
99	663	5975
100	670	5964
101	675	5950
102	681	5936
103	687	5923
104	693	5912
105	699	5899
106	705	5886
107	711	5876
108	717	5861
109	722	5847
110	729	5839
111	735	5831
112	742	5826
113	748	5816
114	754	5808
115	760	5796
116	766	5787
117	772	5774
118	778	5762
119	784	5749
120	789	5738
121	796	5731
122	803	5725
123	810	5722
124	816	5716
125	823	5710
126	830	5707
127	836	5701
128	843	5697
129	850	5692
130	857	5686
131	864	5684
132	871	5679
133	877	5672
134	884	5669
135	890	5659
136	897	5653
137	904	5646
138	910	5637
139	916	5628
140	922	5620
141	929	5614
142	935	5604
143	940	5592
144	946	5583
145	952	5572
146	958	5561
147	964	5551
148	970	5543
149	976	5536
150	982	5522
151	988	5512
152	994	5506
153	1000	5498
154	1006	5487
155	1012	5478
156	1018	5470
157	1024	5460
158	1030	5450
159	1036	5442
160	1042	5433
161	1048	5423
162	1054	5414
163	1060	5405
164	1066	5396
165	1072	5389
166	1078	5380
167	1084	5371
168	1090	5364
169	1097	5355
170	1103	5350
171	1110	5347
172	1117	5341
173	1123	5335
174	1130	5331
175	1137	5324
176	1144	5321
177	1151	5316
178	1158	5312
179	1165	5308
180	1171	5302
181	1178	5298
182	1185	5292
183	1192	5290
184	1199	5285
185	1206	5279
186	1212	5273
187	1220	5269
188	1226	5263
189	1235	5265
190	1242	5263
191	1250	5260
192	1256	5253
193	1263	5249
194	1270	5243
195	1277	5239
196	1283	5233
197	1290	5228
198	1297	5223
199	1304	5216
200	1310	5210
201	1317	5204
202	1323	5197
203	1329	5187
204	1335	5180
205	1341	5170
206	1347	5162
207	1353	5154
208	1359	5146
209	1365	5136
210	1371	5129
211	1377	5121
212	1383	5113
213	1390	5105
214	1396	5098
215	1402	5092
216	1409	5084
217	1415	5077
218	1421	5069
219	1427	5061
220	1433	5052
221	1440	5046
222	1446	5040
223	1452	5031
224	1458	5022
225	1463	5013
226	1470	5006
227	1476	5000
228	1483	4993
229	1489	4986
230	1495	4978
231	1501	4969
232	1507	4961
233	1513	4953
234	1519	4945
235	1524	4936
236	1531	4930
237	1537	4923
238	1543	4915
239	1550	4909
240	1556	4903
241	1563	4898
242	1569	4890
243	1576	4883
244	1582	4876
245	1588	4869
246	1595	4863
