year,quarter,month,ВВП в текущих ценах,ВВП в ценах 2021,ВВП в ценах 2021 без сезонности,Индекс физ объема ВВП,Дефлятор ВВП,Произв-во выс тех уров пред,Произв-во выс тех уров соот,Себестоимость добычи нефти,Ключевая ставка,Инфляция,Выпуск по соот. периоду,Выпуск по предыд периоду,ПЛ БЛ 1,ПЛ БЛ 2,ПЛ БЛ 3,ПЛ БЛ 4,ПЛ БЛ 5,ПЛ БЛ 6,ПЛ БЛ 7,ПЛ БЛ 8,ПЛ БЛ 9,ПЛ БЛ 10,ДомХоз 1,ДомХоз 2,ДомХоз 3,ДомХоз 4,ДомХоз 5,ДомХоз 6,ДомХоз 7,ДомХоз 8,Курс Дол 1,Курс Дол 2,Курс Дол 3,Ключевая ставка % ,ИПЦ общ к пред мес %,ИПЦ прод тов к пред мес %,ИПЦ непрод тов к пред мес %,ИПЦ услуги к пред мес %,ИПР к соотв мес пред г %,ИПР к пред мес %,ИВБО к соотв мес пред г %,ИВБО к пред мес %,Инфляция %,ДомХоз 9,ДомХоз 10,ДомХоз 11,ДомХоз 12,ДомХоз 13,ДомХоз 14,ДомХоз 15,ДомХоз 16,ДомХоз 17,ДомХоз 18,ДомХоз 19,ДомХоз 20,ДомХоз 21,ДомХоз 22,ДомХоз 23,ДомХоз 24,ДомХоз 25,ДомХоз 26,ДомХоз 27,ДомХоз 28,ДомХоз 29,ДомХоз 30,ДомХоз 31,ДомХоз 32,ДомХоз 33
1992,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.3,405.1,311.1,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.0,129.8,147.6,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.9,123.0,141.9,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.7,116.11,125.4,131.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.9,110.7,111.8,117.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.1,120.0,112.1,139.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6,108.9,109.8,120.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.6,107.49,110.3,110.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.5,112.8,112.8,110.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.9,124.7,119.9,128.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.1,127.3,125.6,122.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.2,125.6,126.9,116.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.8,129.0,116.31,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.7,124.78,122.81,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.1,118.3,120.62,128.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.7,116.1,117.82,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1,116.2,115.47,134.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.9,122.7,116.45,117.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.39,122.51,119.22,129.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,122.57,121.02,149.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,123.7,122.32,124.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.5,118.5,119.33,124.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
