code,year,month,quarter,Производительность труда,Уровень иннов. активности,Удобства дороги,Удобства дома,Инвестиции на реконстр. и модер,Произ-во выс тех ур суб,Торговые площади,Доля продаж через интернет,Доля розничных сетей,Реальные доходы в % к соот пер,Уровень безраб квартал,Уровень безраб год,ИПР в % к соответ кв,ИПР в % к предыд кв,Прирост высокопроизв Мест тыс,Прирост высокопроизв Мест %,Номинальная зп руб,ИПЦ общий % к пред месяц,ИПЦ прод тов % к пред месяц,ИПЦ непрод тов % к пред месяц,ИПЦ услуги % к пред месяц,ИПР в % к соотв мес пред год,ИПР в % к пред мес
0,2000,1,1,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,2,1,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,3,1,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,4,2,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,5,2,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,6,2,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,7,3,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,8,3,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,9,3,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,10,4,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,11,4,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2000,12,4,,,,206.6605774064799,,,,,,,,,,,,,,,,,,,
0,2001,1,1,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,2,1,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,3,1,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,4,2,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,5,2,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,6,2,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,7,3,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,8,3,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,9,3,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,10,4,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,11,4,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2001,12,4,,,,217.1801625604121,,,,,,,,,,,,,,,,,,,
0,2002,1,1,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,2,1,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,3,1,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,4,2,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,5,2,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,6,2,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,7,3,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,8,3,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,9,3,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,10,4,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,11,4,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2002,12,4,,,,232.8333556998482,,,,,,,,,,,,,,,,,,,
0,2003,1,1,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,2,1,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,3,1,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,4,2,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,5,2,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,6,2,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,7,3,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,8,3,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,9,3,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,10,4,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,11,4,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2003,12,4,,,,251.9851243929617,,,,,,,,,,,,,,,,,,,
0,2004,1,1,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,2,1,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,3,1,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,4,2,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,5,2,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,6,2,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,7,3,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,8,3,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,9,3,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,10,4,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,11,4,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2004,12,4,,,,284.8675267886576,,,,,,,,,,,,,,,,,,,
0,2005,1,1,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,2,1,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,3,1,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,4,2,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,5,2,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,6,2,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,7,3,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,8,3,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,9,3,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,10,4,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,11,4,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2005,12,4,,,,303.51072995907,21.7,,,,,,,,,,,,,,,,,,
0,2006,1,1,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,2,1,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,3,1,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,4,2,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,5,2,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,6,2,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,7,3,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,8,3,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,9,3,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,10,4,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,11,4,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2006,12,4,,,,353.3885234535758,21.0,,,,,,,,,,,,,,,,,,
0,2007,1,1,,,64.5,428.7052353041083,20.40961946260791,,,,,,,,,,,,,,,,,,
