code,capital_labor_ratio_change,capital_productivity_change,fixed_assets_renewal_comparable_prices,labor_productivity,nominal_wage,high_productivity_jobs,machinery_share_in_total_assets,investment_share_for_modernization,production_index_yoy,production_index_mom,date
1,109.0,96.7,6.9,105.4,20773.99000925968,438.783,37.4,10.3,128.3,72.6,2017-01-01
1,109.0,96.7,6.9,105.4,19581.099945525944,438.783,37.4,10.3,113.9,102.4,2017-02-01
1,109.0,96.7,6.9,105.4,21749.39434271772,438.783,37.4,10.3,115.4,114.6,2017-03-01
1,109.0,96.7,6.9,105.4,21591.152395492754,438.783,37.4,10.3,115.7,100.4,2017-04-01
1,109.0,96.7,6.9,105.4,23382.26140580362,438.783,37.4,10.3,124.1,104.3,2017-05-01
1,109.0,96.7,6.9,105.4,22802.666127695586,438.783,37.4,10.3,120.7,104.0,2017-06-01
1,109.0,96.7,6.9,105.4,24609.41227771201,438.783,37.4,10.3,118.3,96.6,2017-07-01
1,109.0,96.7,6.9,105.4,25300.32520068345,438.783,37.4,10.3,109.7,103.2,2017-08-01
1,109.0,96.7,6.9,105.4,24819.50829620433,438.783,37.4,10.3,119.4,102.8,2017-09-01
1,109.0,96.7,6.9,105.4,24179.37379794302,438.783,37.4,10.3,108.4,89.2,2017-10-01
1,109.0,96.7,6.9,105.4,23239.35680803125,438.783,37.4,10.3,102.9,95.1,2017-11-01
1,109.0,96.7,6.9,105.4,26590.73770693872,438.783,37.4,10.3,97.4,120.7,2017-12-01
1,105.4,96.8,7.0,102.0,22229.6960989045,516.614,38.4,9.2,96.6,72.0,2018-01-01
1,105.4,96.8,7.0,102.0,21230.004931082483,516.614,38.4,9.2,100.2,106.3,2018-02-01
1,105.4,96.8,7.0,102.0,22882.265529081644,516.614,38.4,9.2,103.3,118.1,2018-03-01
1,105.4,96.8,7.0,102.0,23466.613610440752,516.614,38.4,9.2,97.9,95.2,2018-04-01
1,105.4,96.8,7.0,102.0,26119.0,516.614,38.4,9.2,98.6,105.1,2018-05-01
1,105.4,96.8,7.0,102.0,25318.02955819835,516.614,38.4,9.2,105.9,111.7,2018-06-01
1,105.4,96.8,7.0,102.0,26622.827111700444,516.614,38.4,9.2,105.4,96.1,2018-07-01
1,105.4,96.8,7.0,102.0,27668.80192420685,516.614,38.4,9.2,109.0,106.7,2018-08-01
1,105.4,96.8,7.0,102.0,26835.819877272083,516.614,38.4,9.2,117.5,110.9,2018-09-01
1,105.4,96.8,7.0,102.0,26772.39170797728,516.614,38.4,9.2,141.3,107.3,2018-10-01
1,105.4,96.8,7.0,102.0,25676.65498584256,516.614,38.4,9.2,143.5,96.6,2018-11-01
1,105.4,96.8,7.0,102.0,29733.82517452356,516.614,38.4,9.2,130.6,109.8,2018-12-01
1,107.8,98.3,6.5,106.0,24548.4,593.847,38.5,6.3,142.2,78.4,2019-01-01
1,107.8,98.3,6.5,106.0,23503.7,593.847,38.5,6.3,135.1,101.0,2019-02-01
1,107.8,98.3,6.5,106.0,25806.8,593.847,38.5,6.3,124.9,109.1,2019-03-01
1,107.8,98.3,6.5,106.0,27097.9,593.847,38.5,6.3,126.6,96.5,2019-04-01
1,107.8,98.3,6.5,106.0,28516.9,593.847,38.5,6.3,123.6,102.6,2019-05-01
1,107.8,98.3,6.5,106.0,28387.1,593.847,38.5,6.3,117.2,105.9,2019-06-01
1,107.8,98.3,6.5,106.0,29640.3,593.847,38.5,6.3,124.5,102.1,2019-07-01
1,107.8,98.3,6.5,106.0,29915.0,593.847,38.5,6.3,118.7,101.8,2019-08-01
1,107.8,98.3,6.5,106.0,30108.6,593.847,38.5,6.3,117.0,109.3,2019-09-01
1,107.8,98.3,6.5,106.0,30063.7,593.847,38.5,6.3,109.2,100.2,2019-10-01
1,107.8,98.3,6.5,106.0,28621.3,593.847,38.5,6.3,107.2,94.8,2019-11-01
1,107.8,98.3,6.5,106.0,32549.2,593.847,38.5,6.3,114.9,117.7,2019-12-01
1,104.8,95.3,6.4,99.9,27468.6,653.466,38.8,6.0,112.4,76.7,2020-01-01
1,104.8,95.3,6.4,99.9,26445.3,653.466,38.8,6.0,114.2,102.6,2020-02-01
1,104.8,95.3,6.4,99.9,28806.0,653.466,38.8,6.0,116.0,110.8,2020-03-01
1,104.8,95.3,6.4,99.9,29093.1,653.466,38.8,6.0,116.3,96.8,2020-04-01
1,104.8,95.3,6.4,99.9,30473.1,653.466,38.8,6.0,104.2,92.0,2020-05-01
1,104.8,95.3,6.4,99.9,30741.5,653.466,38.8,6.0,102.9,104.5,2020-06-01
1,104.8,95.3,6.4,99.9,32473.1,653.466,38.8,6.0,95.5,94.7,2020-07-01
1,104.8,95.3,6.4,99.9,32224.3,653.466,38.8,6.0,97.6,104.0,2020-08-01
1,104.8,95.3,6.4,99.9,31397.6,653.466,38.8,6.0,94.0,105.3,2020-09-01
1,104.8,95.3,6.4,99.9,32368.4,653.466,38.8,6.0,94.1,100.3,2020-10-01
1,104.8,95.3,6.4,99.9,31282.6,653.466,38.8,6.0,105.1,105.9,2020-11-01
1,104.8,95.3,6.4,99.9,36278.7,653.466,38.8,6.0,107.1,119.9,2020-12-01
1,107.0,95.2,7.1,101.9,30167.6,704.238,39.7,7.1,86.1,61.6,2021-01-01
1,107.0,95.2,7.1,101.9,29037.4,704.238,39.7,7.1,91.9,109.6,2021-02-01
1,107.0,95.2,7.1,101.9,32201.8,704.238,39.7,7.1,104.9,126.4,2021-03-01
1,107.0,95.2,7.1,101.9,32558.5,704.238,39.7,7.1,104.8,96.8,2021-04-01
1,107.0,95.2,7.1,101.9,34860.5,704.238,39.7,7.1,112.7,98.8,2021-05-01
1,107.0,95.2,7.1,101.9,34068.7,704.238,39.7,7.1,112.8,104.7,2021-06-01
1,107.0,95.2,7.1,101.9,36590.2,704.238,39.7,7.1,114.4,96.0,2021-07-01
1,107.0,95.2,7.1,101.9,35686.5,704.238,39.7,7.1,112.4,102.2,2021-08-01
1,107.0,95.2,7.1,101.9,34701.8,704.238,39.7,7.1,113.1,105.9,2021-09-01
1,107.0,95.2,7.1,101.9,36802.4,704.238,39.7,7.1,113.4,100.6,2021-10-01
1,107.0,95.2,7.1,101.9,35357.8,704.238,39.7,7.1,112.2,104.8,2021-11-01
1,107.0,95.2,7.1,101.9,42198.9,704.238,39.7,7.1,123.4,131.9,2021-12-01
2,109.0,96.7,6.9,105.4,22433.516436233025,438.783,37.4,4.9,128.3,72.6,2017-01-01
2,109.0,96.7,6.9,105.4,22886.76524145647,438.783,37.4,4.9,113.9,102.4,2017-02-01
2,109.0,96.7,6.9,105.4,24232.293523828568,438.783,37.4,4.9,115.4,114.6,2017-03-01
2,109.0,96.7,6.9,105.4,23982.01166751055,438.783,37.4,4.9,115.7,100.4,2017-04-01
2,109.0,96.7,6.9,105.4,23568.391567859333,438.783,37.4,4.9,124.1,104.3,2017-05-01
2,109.0,96.7,6.9,105.4,24484.20325211544,438.783,37.4,4.9,120.7,104.0,2017-06-01
2,109.0,96.7,6.9,105.4,26011.99480882181,438.783,37.4,4.9,118.3,96.6,2017-07-01
2,109.0,96.7,6.9,105.4,25700.36075006076,438.783,37.4,4.9,109.7,103.2,2017-08-01
2,109.0,96.7,6.9,105.4,25900.831601250065,438.783,37.4,4.9,119.4,102.8,2017-09-01
2,109.0,96.7,6.9,105.4,26274.26708965606,438.783,37.4,4.9,108.4,89.2,2017-10-01
2,109.0,96.7,6.9,105.4,25016.26806965293,438.783,37.4,4.9,102.9,95.1,2017-11-01
2,109.0,96.7,6.9,105.4,32232.01513185416,438.783,37.4,4.9,97.4,120.7,2017-12-01
2,105.4,96.8,7.0,102.0,26947.204863713712,516.614,38.4,1.4,96.6,72.0,2018-01-01
2,105.4,96.8,7.0,102.0,29916.19022806218,516.614,38.4,1.4,100.2,106.3,2018-02-01
2,105.4,96.8,7.0,102.0,30608.008315393952,516.614,38.4,1.4,103.3,118.1,2018-03-01
2,105.4,96.8,7.0,102.0,30290.24655412959,516.614,38.4,1.4,97.9,95.2,2018-04-01
2,105.4,96.8,7.0,102.0,28742.0,516.614,38.4,1.4,98.6,105.1,2018-05-01
2,105.4,96.8,7.0,102.0,30451.114177789543,516.614,38.4,1.4,105.9,111.7,2018-06-01
2,105.4,96.8,7.0,102.0,32318.53644311677,516.614,38.4,1.4,105.4,96.1,2018-07-01
2,105.4,96.8,7.0,102.0,31659.25894537468,516.614,38.4,1.4,109.0,106.7,2018-08-01
2,105.4,96.8,7.0,102.0,31964.91571404947,516.614,38.4,1.4,117.5,110.9,2018-09-01
2,105.4,96.8,7.0,102.0,32008.37377841834,516.614,38.4,1.4,141.3,107.3,2018-10-01
2,105.4,96.8,7.0,102.0,31649.78359383485,516.614,38.4,1.4,143.5,96.6,2018-11-01
2,105.4,96.8,7.0,102.0,40438.97797451955,516.614,38.4,1.4,130.6,109.8,2018-12-01
2,107.8,98.3,6.5,106.0,32521.4,593.847,38.5,4.0,142.2,78.4,2019-01-01
2,107.8,98.3,6.5,106.0,33185.8,593.847,38.5,4.0,135.1,101.0,2019-02-01
2,107.8,98.3,6.5,106.0,34305.3,593.847,38.5,4.0,124.9,109.1,2019-03-01
2,107.8,98.3,6.5,106.0,34468.5,593.847,38.5,4.0,126.6,96.5,2019-04-01
2,107.8,98.3,6.5,106.0,33106.1,593.847,38.5,4.0,123.6,102.6,2019-05-01
2,107.8,98.3,6.5,106.0,33599.4,593.847,38.5,4.0,117.2,105.9,2019-06-01
2,107.8,98.3,6.5,106.0,36470.0,593.847,38.5,4.0,124.5,102.1,2019-07-01
2,107.8,98.3,6.5,106.0,35347.1,593.847,38.5,4.0,118.7,101.8,2019-08-01
2,107.8,98.3,6.5,106.0,34461.9,593.847,38.5,4.0,117.0,109.3,2019-09-01
2,107.8,98.3,6.5,106.0,35935.7,593.847,38.5,4.0,109.2,100.2,2019-10-01
2,107.8,98.3,6.5,106.0,34598.7,593.847,38.5,4.0,107.2,94.8,2019-11-01
2,107.8,98.3,6.5,106.0,43260.0,593.847,38.5,4.0,114.9,117.7,2019-12-01
2,104.8,95.3,6.4,99.9,36940.9,653.466,38.8,4.6,112.4,76.7,2020-01-01
2,104.8,95.3,6.4,99.9,36214.3,653.466,38.8,4.6,114.2,102.6,2020-02-01
2,104.8,95.3,6.4,99.9,37285.6,653.466,38.8,4.6,116.0,110.8,2020-03-01
2,104.8,95.3,6.4,99.9,36589.1,653.466,38.8,4.6,116.3,96.8,2020-04-01
2,104.8,95.3,6.4,99.9,33929.9,653.466,38.8,4.6,104.2,92.0,2020-05-01
